№|ID|серійний номер|адреса|місто|особливості|опис 4 зони|банк|модель|виробник|контактна особа|область|дата отримання ключа|наявність ключа|доступ|сигналізація|зарплатний проект|інкасація|flm|slm|розміщення|vip
274|4321|5300352934|м. Нікополь, пр. Трубникiв, 56 (1-й АТМ)|Нікополь|FLM-5;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Радіоконект|Дніпропетровська|15.07.2011|0|0|1|0|УСБ ВТ,ЧТ|Реноме-Смарт 6|Реноме-Смарт 10|ЗАТ НЗСТ ЮтіСТ|1
275|4322|5300211956|м. Лисичанськ (1-й АТМ)|Лисичанськ|FLM-5;SLM-5||ALFA|ProCash 1500|WINCOR|Link: Радіоконект|Луганська|01.10.2014|0|0|1|0|УСБ СР,ПТ|Реноме-Смарт 6|Реноме-Смарт 10|ВАТ ЛиНОС (заводоуправління)|1
276|4323|5300654381|м. Кропивницький, вул. Вокзальна, 20|Кропивницький|FLM-7;SLM-5||ALFA|ProCash 8050|WINCOR|Link: Радіоконект|Кіровоградська|24.12.2012|0|0|1|0|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Заводоуправління ВАТ ЛиНОС|1
277|4324|13-49011899|м. Лисичанськ (2-й АТМ)|Лисичанськ|FLM-7;SLM-5||ALFA|SelfServ 6622|NCR|Link: Радіоконект|Луганська||0|0|1|0|УСБ СР,ПТ|PRINTEC 8|PRINTEC 12|ВАТ ЛиНОС (центральна прохідна)|1
278|4325|5300290725|м. Одеса, вул. Маршала Жукова, 99 (2-й АТМ)|Одеса|FLM-7;SLM-5||ALFA|ProCash 1500|WINCOR|Link: Радіоконект|Одеська|26.12.2013|0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|г/м Епіцентр|1
279|4326|5300338113|с. Кудряве, вул. Охтирська, 1|Кудряве|FLM-5;SLM-5||ALFA|ProCash 2050|WINCOR|Link: Радіоконект|Сумська|06.07.2011|0|0|1|0|УСБ|Реноме-Смарт 6|Реноме-Смарт 10|Обласна спеціалізована психіатрична лікарня №2|1
280|4327|5300184383|с. Софіївка, вул. Шевченка, 39|Софіївка|FLM-5;SLM-5||ALFA|ProCash 1500|WINCOR|Link: Радіоконект|Черкаська|01.04.2014|0|0|1|0|УСБ ВТ,ПТ|Реноме-Смарт 6|Реноме-Смарт 10|ТОВ ім. Шевченка|1
281|4328|13-45179940|м. Нікополь, вул. Дружби, 2|Нікополь|FLM-5;SLM-5||ALFA|SelfServ 6626|NCR|Link: Радіоконект|Дніпропетровська||0|0|1|1|УСБ ВТ,ЧТ|PRINTEC 8|PRINTEC 12|Магазин Кафель-Сантехника|1
282|4329|5300358685|м. Запоріжжя, пр. Маяковського, 19|Запоріжжя|FLM-7;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Радіоконект|Запорізька|03.10.2014|0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Готель Рейкарц Запоріжжя|1
283|4330|13-49011912|с. Циблі, вул. Лісова, 2|Циблі|FLM-5;SLM-5||ALFA|SelfServ 6622|NCR|Link: Радіоконект|Київська||0|0|1|1|УСБ ВТ,ЧТ|PRINTEC 8|PRINTEC 12|Український державний медико-соціальний центр ветеранів війни|1
284|4331|5300296330|м. Полтава, вул. Київське шосе, 41|Полтава|FLM-7;SLM-5||ALFA|ProCash 1500|WINCOR|Link: Радіоконект|Полтавська|01.12.2013|0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|г/м Епіцентр|1
285|4332|5300356327|м. Суми, вул. Герасима Кондратьєва, 110|Суми|FLM-7;SLM-5||ALFA|ProCash 2050|WINCOR|Link: Радіоконект|Сумська|06.07.2011|0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|с/м Еко маркет|1
286|4333|5300298196|м. Харків, пр. Ювілейний, 98А|Харків|FLM-7;SLM-5||ALFA|ProCash 2050|WINCOR|Link: Радіоконект|Харківська|07.07.2011|0|0|0|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|ex-Старосалтівське відділення|1
287|4334|13-45181314|м. Черкаси, вул. Чигиринська 13|Черкаси|FLM-7;SLM-5||ALFA|SelfServ 6626|NCR|Link: Радіоконект|Черкаська||0|0|1|1|УСБ|PRINTEC 4|PRINTEC 8|Верес|1
288|4335|5300356387|м. Канів, вул. Дорошенка, 1|Канів|FLM-5;SLM-5||ALFA|ProCash 2050|WINCOR|Link: Радіоконект|Черкаська|04.07.2011|0|0|1|1|УСБ ВТ,ПТ|Реноме-Смарт 6|Реноме-Смарт 10|Верес|1
289|4336|5300507220|м. Городок, вул. Грушевського, 88|Городок|FLM-5;SLM-5||ALFA|ProCash 2050|WINCOR|Link: Радіоконект|Хмельницька|08.07.2011|0|0|1|1|УСБ ВТ,ПТ|Реноме-Смарт 6|Реноме-Смарт 10|Продуктовий Супермаркет|1
290|4337|13-45179887|м. Київ, вул. Велика Васильківська, 19|Київ|FLM-5;SLM-5 ACCESS.. Доступ з 10:00 до 13:00||ALFA|SelfServ 6626|NCR|Link: Радіоконект|Київська||0|0|1|1|УСБ|PRINTEC 4|PRINTEC 8|Кінотеатр Київ|1
291|4339|13-45181301|м. Охтирка, вул. Батюка, 9 (2-й АТМ)|Охтирка|FLM-7;SLM-5||ALFA|SelfServ 6626|NCR||Сумська||0|0|0|1|Альфа|PRINTEC 8|PRINTEC 12|Відділення Охтирське|1
292|4340|5300507228|м. Хмільник, вул. Кутузова, 5|Хмільник|FLM-5;SLM-5||ALFA|ProCash 2050|WINCOR||Вінницька|06.07.2011|0|0|0|1|Альфа|Реноме-Смарт 6|Реноме-Смарт 10|Відділення Хмільникське|1
293|4341|13-45167156|м. Київ, вул. Григоренка, 40 (2-й АТМ)|Київ|FLM-7;SLM-5||ALFA|SelfServ 6622|NCR|Link: Радіоконект|Київська||0|0|1|1|УСБ|PRINTEC 4|PRINTEC 8|г/м Епіцентр|1
294|4342|5300652128|м. Київ, пр. Московський, 24Д|Київ|FLM-5;SLM-5||ALFA|ProCash 8000|WINCOR|Link: Радіоконект|Київська||0|0|1|0|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Автосалон Віннер Автомотив|1
295|4343|5300356948|м. Суми, вул. Кооперативна, 1|Суми|FLM-7;SLM-5||ALFA|ProCash 2050|WINCOR|Link: Радіоконект|Сумська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|с/м Еко маркет|1
296|4344|5300256882|м. Харків, пр. Московський, 256Б|Харків|FLM-7;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Радіоконект|Харківська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|с/м Велика Кишеня|1
297|4345|13-52671500|м. Хмельницький, вул. Курчатова, 8|Хмельницький|FLM-5;SLM-5||ALFA|SelfServ 6626|NCR|Link: Радіоконект|Хмельницька||0|0|1|0|УСБ|PRINTEC 4|PRINTEC 8|Хмелницькобленерго|1
298|4346|5300261260|м. Бахмут, вул. Перемоги, 42|Бахмут|FLM-5;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Радіоконект|Донецька||0|0|1|1|УСБ ВТ,ЧТ|Реноме-Смарт 6|Реноме-Смарт 10|Магазин Батон|1
299|4347|13-45167139|м. Краматорськ, вул. Академічна, 72|Краматорськ|FLM-7;SLM-5||ALFA|SelfServ 6622|NCR|Link: Радіоконект|Донецька||0|0|1|1|УСБ|PRINTEC 8|PRINTEC 12|ДГМА академія|1
300|4348|5300207267|с. Синяк, Санаторій Синяк|Синяк|FLM-5;SLM-5||ALFA|ProCash 2050|WINCOR|Link: Радіоконект|Закарпатська||0|0|1|1|УСБ ПН,ЧТ|Реноме-Смарт 6|Реноме-Смарт 10|Санаторій Синяк|1
301|4349|13-45179968|м. Енергодар, вул. Промислова, 133|Енергодар|FLM-7;SLM-5||ALFA|SelfServ 6626|NCR|Link: Радіоконект|Запорізька||0|0|1|0|УСБ|PRINTEC 8|PRINTEC 12|Запорізька АЕС|1
302|4350|5300291491|м. Київ, вул. Лугова, 9|Київ|FLM-5;SLM-5||ALFA|ProCash 1500|WINCOR|Link: Радіоконект|Київська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|DHL|1
303|4351|13-45181294|м. Київ, пр. Бажана, 14А|Київ|FLM-7;SLM-5||ALFA|SelfServ 6626|NCR|Link: Радіоконект|Київська||0|0|1|1|УСБ|PRINTEC 4|PRINTEC 8|Магазин Спортмастер|1
304|4352|5300255734|м. Переяслав-Хмельницький, вул. Богдана Хмельницького, 137|Переяслав-Хмельницький|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR||Київська||0|0|0|1|УСБ ВТ,ЧТ|Реноме-Смарт 6|Реноме-Смарт 10|Відділення Переяслав-Хмельницьке|1
305|4353|5300255399|м. Суми, вул. Ковпака, 11|Суми|FLM-7;SLM-5||ALFA|ProCash 2050|WINCOR|Link: Радіоконект|Сумська||0|0|1|1|Альфа|Реноме-Смарт 3|Реноме-Смарт 6|с/м Еко маркет|1
306|4354|13-51991096|с. Високий, вул. Ощепкова, 34|Високий|FLM-5;SLM-5||ALFA|SelfServ 6622|NCR|Link: Радіоконект|Харківська||0|0|1|1|УСБ|PRINTEC 8|PRINTEC 12|АЗС|1
307|4355|5300236229|м. Рожище, вул. Селянська, 48А|Рожище|FLM-5;SLM-5||ALFA|ProCash 1500|WINCOR|Link: Радіоконект|Волинська|16.04.2019|0|0|0|1|УСБ|Реноме-смарт 6|Реноме-смарт 10|ТОВ Цунамі (2 поверх, їдальня)|1
308|4356|5300337888|м. Суми, вул. Гагаріна, 11|Суми|FLM-5;SLM-5||ALFA|ProCash 2100|WINCOR||Сумська||0|0|0|1|Укргаз|Реноме-Смарт 3|Реноме-Смарт 6|Відділення Сумське|1
309|4357|5300297778|м. Вінниця, вул. Коцюбинського, 39|Вінниця|FLM-7;SLM-5||ALFA|ProCash 2050|WINCOR|Link: Радіоконект|Вінницька||0|0|1|0|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|ВАТ Володарка|1
310|4358|13-49011432|с. Єлизаветівка, вул. Індустріальна, 9А|Єлизаветівка|FLM-7;SLM-5||ALFA|SelfServ 6622|NCR|Link: Радіоконект|Дніпропетровська||0|0|1|0|УСБ|PRINTEC 8|PRINTEC 12|Завод Мега Пак|1
311|4359|13-46071661|м. Бахмут, вул. Торгова, 1|Бахмут|FLM-7;SLM-5||ALFA|SelfServ 6622|NCR|Link: Радіоконект|Донецька||0|0|1|1|УСБ ВТ,ЧТ|PRINTEC 8|PRINTEC 12|Торговий дім Астрон|1
312|4360|13-52671498|м. Коростень, вул. Каштанова, 3|Коростень|FLM-5;SLM-5||ALFA|SelfServ 6626|NCR|Link: Радіоконект|Житомирська||0|0|1|0|УСБ|PRINTEC 8|PRINTEC 12|ТОВ Коростенський щебзавод|1
313|4361|5300499829|м. Київ, вул. Гагаріна, 23|Київ|FLM-7;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Радіоконект|Київська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Магазин Спортмайстер|1
314|4362|5300186265|м. Кропивницький, вул. Соборна, 1А|Кропивницький|FLM-7;SLM-5||ALFA|ProCash 1500|WINCOR|Link: Радіоконект|Кіровоградська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|с/м Копілка|1
315|4363|5300358644|м. Одеса, вул. Маршала Жукова, 99 (1-й АТМ)|Одеса|FLM-7;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Радіоконект|Одеська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|г/м Епіцентр|1
316|4364|5300514630|м. Полтава, вул. Зіньківська, 6Б|Полтава|FLM-7;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Радіоконект|Полтавська||0|0|1|0|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Полтавський Турбомеханічний завод|1
317|4365|5300301670|м. Рівне, вул. Макарова, 17|Рівне|FLM-7;SLM-5||ALFA|ProCash 1500|WINCOR|Link: Радіоконект|Рівненська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|г/м Епіцентр|1
318|4366|5300301539|м. Тернопіль, вул. Поліська, 7|Тернопіль|FLM-7;SLM-5||ALFA|ProCash 1500|WINCOR|Link: Радіоконект|Тернопільська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|г/м Епіцентр|1
319|4367|13-51991112|м. Харків, вул. Технологічна, 5|Харків|FLM-5;SLM-5||ALFA|SelfServ 6622|NCR|Link: Радіоконект|Харківська||0|0|1|0|УСБ|PRINTEC 4|PRINTEC 8|ТОВ Хаск|1
320|4368|5300653557|м. Першотравенськ, вул. Горького, 4В|Першотравенськ|FLM-5;SLM-5||ALFA|ProCash 8050|WINCOR|Link: Радіоконект|Дніпропетровська||0|0|1|1|УСБ ВТ,ЧТ|Реноме-Смарт 6|Реноме-Смарт 10|Магазин Попелюшка|1
321|4370|5300302676|м. Житомир, вул. Баранова, 89|Житомир|FLM-5;SLM-5||ALFA|ProCash 2050|WINCOR|Link: Радіоконект|Житомирська||0|0|1|0|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|Житомирський завод огороджувальних конструкцій|1
322|4371|13-45181313|м. Київ, бул. Лепсе, 4|Київ|FLM-5;SLM-5||ALFA|SelfServ 6626|NCR|Link: Радіоконект|Київська||0|0|1|1|УСБ|PRINTEC 4|PRINTEC 8|Офісний центр Сільвер центр|1
323|4372|5300262592|м. Київ, вул. Вишняківська, 10|Київ|FLM-7;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Радіоконект|Київська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|с/м Велика Кишеня|1
324|4373|5300186269|м. Київ, пл. Перемоги, 3|Київ|FLM-7;SLM-5||ALFA|ProCash 1500|WINCOR|Link: Радіоконект|Київська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|с/м Велика Кишеня|1
325|4374|13-45179910|м. Львів, вул. Некрасова, 4|Львів|FLM-7;SLM-5||ALFA|SelfServ 6626|NCR|Link: Радіоконект|Львівська||0|0|1|1|УСБ|PRINTEC 4|PRINTEC 8|Львівська клінічна лікарня|1
326|4375|5300302591|м. Миколаїв, пр. Жовтневий, 234В|Миколаїв|FLM-7;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Радіоконект|Миколаївська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|г/м Епіцентр|1
327|4376|5300356880|м. Суми, вул. Прокоф'єва, 14|Суми|FLM-7;SLM-5||ALFA|ProCash 2050|WINCOR|Link: Радіоконект|Сумська|06.07.2011|0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|с/м Еко маркет|1
328|4377|5300356865|м. Гусятин, вул. Тернопільська, 2А|Гусятин|FLM-5;SLM-5||ALFA|ProCash 2050|WINCOR|Link: Радіоконект|Тернопільська||0|0|1|1|УСБ СР,СБ|Реноме-Смарт 6|Реноме-Смарт 10|Магазин Мальви|1
329|4378|5300357114|м. Харків, пр. Науки, 27Б (3-й АТМ)|Харків|FLM-5;SLM-5||ALFA|ProCash 1500|WINCOR|Link: Радіоконект|Харківська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|БЦ Капіталіст, 9 пов.|1
330|4379|5300237186|м. Черкаси, вул. 30р. Перемоги, 29|Черкаси|FLM-7;SLM-5||ALFA|ProCash 1500|WINCOR|Link: Радіоконект|Черкаська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|г/м Епіцентр|1
331|4380|5300261529|м. Чернівці, вул. Хотинська, 10А (1-й АТМ)|Чернівці|FLM-7;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Радіоконект|Чернівецька||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|г/м Епіцентр|1
332|4381|13-45167159|с. Яснозір'я, вул. Центральна, 82|Яснозір'я|FLM-5;SLM-5 APPEAL.. 13.02.2019 Необхідне встановлення системи обігріву||ALFA|SelfServ 6622|NCR|Link: Радіоконект|Черкаська||0|0|1|0|УСБ ВТ,ПТ|PRINTEC 8|PRINTEC 12|ТОВ Верес|1
333|4382|13-45179964|м. Кам'янське, вул. Мурахтова, 4|Кам'янське|FLM-5;SLM-5||ALFA|SelfServ 6626|NCR|Link: Радіоконект|Дніпропетровська||0|0|0|1|УСБ|PRINTEC 8|PRINTEC 12|Відділення|1
334|4383|13-45167176|м. Київ, вул. Копилівська, 38|Київ|FLM-5;SLM-5||ALFA|SelfServ 6622|NCR|Link: Радіоконект|Київська||0|0|1|0|УСБ|PRINTEC 4|PRINTEC 8|ЗАТ Київський вітамінний завод|1
335|4384|5300499927|м. Київ, вул. Саперно-Слобідська, 10|Київ|FLM-7;SLM-5||ALFA|ProCash 2000|WINCOR|Link: Радіоконект|Київська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|с/м Велика Кишеня|1
336|4385|13-48383551|м. Красилів, вул. Центральна, 16|Красилів|FLM-5;SLM-5||ALFA|SelfServ 6626|NCR|Link: Радіоконект|Хмельницька||0|0|1|0|УСБ СР|PRINTEC 8|PRINTEC 12|ТОВ Завод Атонмаш|1
337|4387|13-45179893|м. Знам'янка, вул. Калініна, 118Д|Знам'янка|FLM-5;SLM-5||ALFA|SelfServ 6626|NCR|Link: Радіоконект|Кіровоградська||0|0|1|1|УСБ ПН,ЧТ|PRINTEC 8|PRINTEC 12|Магазин Серебро|1
338|4389|13-45179880|м. Лисичанськ, пр. Перемоги, 80|Лисичанськ|FLM-7;SLM-5||ALFA|SelfServ 6626|NCR|Link: Радіоконект|Луганська||0|0|1|1|УСБ СР,ПТ|PRINTEC 8|PRINTEC 12|Магазин Абсолют|1
339|4390|5300356851|м. Львів, вул. Широка, 64|Львів|FLM-7;SLM-5||ALFA|ProCash 2050|WINCOR|Link: Радіоконект|Львівська||0|0|1|1|УСБ|Реноме-Смарт 3|Реноме-Смарт 6|с/м Вопак|1
